a,r1,r2,h,label
210,80,60,170,a
240,100,52.5,180,a
285,111,75,200,a
240,92.5,62.5,180,a
225,95,45,160,a
345,105,85,160,b
360,107.5,95,190,b
360,115,90,190,b
360,125,75,180,b
330,112.5,58,190,d
300,100,75,220,c
360,115,86,200,b
270,97.5,55,150,b
315,97.5,55,160,d
300,98,81,200,b
330,112,80,190,b
345,114,55,160,d
360,105,100,200,b
300,97.5,75,180,b
360,112.5,87.5,190,b
300,95,75,180,b
345,125,75,210,b
360,125,75,190,b
345,108,87.5,195,b
360,104,89,150,b
360,115,87.5,205,b
345,115,87.5,150,a
330,107.5,56,175,d
345,112.5,57.5,175,d
360,117.5,87.5,220,b
300,97.5,77.5,205,b
240,95,57.5,215,b
285,104,72.5,220,b
270,104,72.5,210,a
360,125,90,220,b
210,75,57.5,185,b
225,80,52.5,165,b
240,75,70,180,b
240,80,60,175,b
240,90,72.5,235,b
270,88,75,210,b
285,95,77.5,215,b
315,95,84,200,b
345,117.5,100,270,b
225,80,66.5,200,b
255,89,65,200,b
255,97.5,62.5,225,b
255,100,80,227,a
255,102.5,77.5,230,a
255,115,72.5,190,a
270,100,85,190,a
285,100,85,250,b
270,95,62.5,195,b
270,112.5,80,190,a
285,104,85,190,a
300,104,86,190,a
300,107.5,85,255,b
255,92.5,62.5,190,b
285,112.5,62.5,191,a
270,112.5,62.5,192,a
300,105,87.5,192,a
225,88.5,67.5,235,b
240,89,67.5,220,b
240,95,65,235,b
255,95,65,230,c
255,116,69,192,a
270,116,69,192,a
255,112.5,80,192,a
285,105,86.5,193,a
300,105.5,91,194,a
330,110,90,255,b
330,110,92.5,265,b
360,115,95,245,b
270,107.5,83.5,205,a
330,118,97.5,196,a
240,82.5,70,200,b
240,97.5,65.5,207,a
255,97.5,65.5,240,c
255,106,82.5,194,a
270,106,82.5,194,a
270,107.5,83.5,194,a
285,108,89,195,a
300,108,89,270,b
240,90,65,220,b
270,108,87.5,196,a
210,87.5,65,240,b
225,87.5,65,225,b
210,84,65,205,a
255,109.5,86.5,196,a
240,109.5,86.5,196,a
255,107.5,85,206,a
285,110,92.5,207,a
270,106,91,208,a
285,106,91,208,a
270,107.5,92.5,218,a
210,82.5,39,150,b
210,83.5,41,165,b
210,85,35,140,b
240,75,70,185,b
240,107.5,90,210,a
255,111,85,210,a
255,112.5,77.5,240,a
255,115,75,240,a
270,115,75,240,a
255,116.5,78.5,265,a
240,116.5,78.5,220,a
255,118.5,77.5,210,a
270,95,83,210,a
270,110,90,210,a
270,112,72.5,275,b
270,112.5,68.5,210,a
270,112.5,75,210,a
285,107.5,92.5,210,a
300,107.5,92.5,210,a
285,83.5,73,155,b
285,95,84,240,b
285,113,80,210,a
285,117.5,67.5,265,b
300,117.5,67.5,260,c
300,107.5,90,210,a
315,107.5,90,245,b
315,110,92.5,210,a
330,110,92.5,210,a
270,105,77.5,210,a
210,85,39.5,160,b
225,80,60,185,b
240,95,82.5,270,b
255,95,82.5,260,b
240,98,77.5,213,a
255,97.5,77.5,260,b
300,107.5,95,213,a
315,107.5,95,265,b
210,82.5,40,155,b
270,98,82.5,215,a
255,100,75,220,a
255,103.5,89,295,b
285,87.5,76.5,190,b
300,100,88,250,b
270,100,82.5,225,a
285,100,83.5,225,a
300,100,83.5,240,b
210,80,72.5,220,a
240,100,70,260,b
210,75,55,170,b
210,75,62.5,200,b
225,75,65,190,b
255,95,65,220,b
270,95,65,200,b
285,83,72,145,b
270,95,50,170,c
270,95,47.5,150,c
270,92.5,47.5,135,c
255,95,55,200,c
300,102.5,60,190,c
315,102.5,60,155,c
300,105,62.5,190,c
315,105,62.5,205,d
300,102.5,62.5,185,c
255,95,52.5,195,c
270,95,52.5,195,d
255,95,55,210,c
345,122.5,65,210,c
330,112.5,67.5,195,c
345,107.5,87.5,205,b
300,116,67.5,220,b
270,95,65,205,b
255,95,65,215,b
300,116.5,65,210,b
315,116.5,65,205,b
315,119,68.5,250,c
270,93.5,63,210,c
270,97.5,67.5,235,c
285,97.5,67.5,230,d
315,115,67.5,240,c
330,115,67.5,260,e
345,107.5,90,225,b
285,115,65,265,c
300,115,65,280,e
255,104,50,220,c
270,107.5,52.5,220,c
270,111,50,225,c
285,118.5,63,250,b
300,118.5,63,250,c
285,107.5,60,200,b
315,116,67.5,245,c
330,116,67.5,240,d
330,113,92.5,245,b
345,113,92.5,220,b
300,117.5,66,260,c
315,117.5,66,260,d
300,115,65,250,c
315,115,65,250,d
270,117.5,70,290,b
270,119,72.5,300,b
285,118,72,290,c
330,100,85,220,c
330,100,85,230,c
255,95,47.5,195,d
330,102.5,75,220,d
270,95,57,210,d
285,95,57,220,e
345,122.5,67.5,245,d
270,97.5,52,200,d
285,97.5,52,180,d
345,117.5,62.5,210,d
345,120,67.5,240,d
285,92.5,65,210,d
300,92.5,65,230,e
